"farm","asset","event_id","event_label","event_start","event_start_id","event_end","event_end_id","event_description"
"Wind Farm A","0","0","anomaly","2023-08-06 06:10:00","52436","2023-08-20 06:10:00","54447","Generator bearing failure"
"Wind Farm A","10","10","anomaly","2023-10-11 08:40:00","52611","2023-10-18 08:40:00","53591","Gearbox failure"
"Wind Farm A","21","13","normal","2023-05-03 13:20:00","50859","2023-05-24 10:20:00","53865",""
"Wind Farm A","13","14","normal","2023-03-05 14:00:00","52584","2023-03-12 18:40:00","53620",""
"Wind Farm A","10","17","normal","2023-11-02 15:20:00","52597","2023-11-16 00:40:00","54513",""
"Wind Farm A","21","22","anomaly","2023-08-12 09:50:00","51888","2023-08-19 10:00:00","52892","Hydraulic group"
"Wind Farm A","0","24","normal","2023-04-27 15:00:00","52720","2023-05-11 11:20:00","54714",""
"Wind Farm A","11","25","normal","2023-05-23 06:50:00","52289","2023-06-05 02:30:00","54135",""
"Wind Farm A","0","26","anomaly","2023-10-12 10:20:00","52261","2023-10-19 10:20:00","53269","Hydraulic group"
"Wind Farm A","10","3","normal","2023-04-27 03:00:00","52185","2023-05-18 01:10:00","55198",""
"Wind Farm A","13","38","normal","2023-07-01 15:40:00","52723","2023-07-15 07:40:00","54546",""
"Wind Farm A","10","40","anomaly","2022-12-26 00:00:00","51363","2023-01-26 13:00:00","55870","Generator bearing failure"
"Wind Farm A","10","42","anomaly","2023-09-09 15:50:00","52303","2023-09-16 15:50:00","53309","Hydraulic group"
"Wind Farm A","13","45","anomaly","2023-04-19 18:10:00","52731","2023-04-26 18:10:00","53738","Hydraulic group"
"Wind Farm A","21","51","anomaly","2023-10-06 01:30:00","52331","2023-10-17 16:10:00","54003","Gearbox bearings damaged"
"Wind Farm A","11","68","anomaly","2023-07-28 13:20:00","52063","2023-08-11 13:10:00","54076","Transformer failure"
"Wind Farm A","11","69","normal","2023-09-04 00:50:00","52364","2023-09-18 00:50:00","54380",""
